"x","y","first_image","second_image","rad"
384,639,"Scene41_CON.png","Scene41_SEM.png",43.5
435,639,"Scene41_CON.png","Scene41_SEM.png",43.5
486,690,"Scene41_CON.png","Scene41_SEM.png",43.5
537,690,"Scene41_CON.png","Scene41_SEM.png",43.5
435,690,"Scene41_CON.png","Scene41_SEM.png",43.5
333,639,"Scene41_CON.png","Scene41_SEM.png",43.5
282,690,"Scene41_CON.png","Scene41_SEM.png",43.5
333,690,"Scene41_CON.png","Scene41_SEM.png",43.5
537,333,"Scene42_CON.png","Scene42_SEM.png",43.5
588,333,"Scene42_CON.png","Scene42_SEM.png",43.5
282,639,"Scene43_CON.png","Scene43_SEM.png",43.5
282,588,"Scene43_CON.png","Scene43_SEM.png",43.5
333,588,"Scene43_CON.png","Scene43_SEM.png",43.5
384,588,"Scene43_CON.png","Scene43_SEM.png",43.5
384,537,"Scene43_CON.png","Scene43_SEM.png",43.5
435,486,"Scene43_CON.png","Scene43_SEM.png",43.5
486,537,"Scene43_CON.png","Scene43_SEM.png",43.5
537,537,"Scene43_CON.png","Scene43_SEM.png",43.5
588,537,"Scene43_CON.png","Scene43_SEM.png",43.5
435,537,"Scene43_CON.png","Scene43_SEM.png",43.5
435,588,"Scene43_CON.png","Scene43_SEM.png",43.5
486,588,"Scene43_CON.png","Scene43_SEM.png",43.5
537,588,"Scene43_CON.png","Scene43_SEM.png",43.5
486,639,"Scene43_CON.png","Scene43_SEM.png",43.5
486,690,"Scene43_CON.png","Scene43_SEM.png",43.5
435,741,"Scene43_CON.png","Scene43_SEM.png",43.5
384,741,"Scene43_CON.png","Scene43_SEM.png",43.5
333,741,"Scene43_CON.png","Scene43_SEM.png",43.5
282,690,"Scene43_CON.png","Scene43_SEM.png",43.5
333,690,"Scene43_CON.png","Scene43_SEM.png",43.5
333,639,"Scene43_CON.png","Scene43_SEM.png",43.5
384,639,"Scene43_CON.png","Scene43_SEM.png",43.5
384,690,"Scene43_CON.png","Scene43_SEM.png",43.5
435,690,"Scene43_CON.png","Scene43_SEM.png",43.5
435,639,"Scene43_CON.png","Scene43_SEM.png",43.5
486,435,"Scene44_CON.png","Scene44_SEM.png",43.5
537,486,"Scene44_CON.png","Scene44_SEM.png",43.5
537,435,"Scene44_CON.png","Scene44_SEM.png",43.5
588,384,"Scene44_CON.png","Scene44_SEM.png",43.5
639,384,"Scene44_CON.png","Scene44_SEM.png",43.5
690,384,"Scene44_CON.png","Scene44_SEM.png",43.5
741,384,"Scene44_CON.png","Scene44_SEM.png",43.5
690,435,"Scene44_CON.png","Scene44_SEM.png",43.5
690,486,"Scene44_CON.png","Scene44_SEM.png",43.5
690,537,"Scene44_CON.png","Scene44_SEM.png",43.5
639,537,"Scene44_CON.png","Scene44_SEM.png",43.5
588,537,"Scene44_CON.png","Scene44_SEM.png",43.5
588,486,"Scene44_CON.png","Scene44_SEM.png",43.5
639,486,"Scene44_CON.png","Scene44_SEM.png",43.5
639,435,"Scene44_CON.png","Scene44_SEM.png",43.5
588,435,"Scene44_CON.png","Scene44_SEM.png",43.5
129,690,"Scene45_CON.png","Scene45_SEM.png",43.5
180,690,"Scene45_CON.png","Scene45_SEM.png",43.5
231,639,"Scene45_CON.png","Scene45_SEM.png",43.5
282,639,"Scene45_CON.png","Scene45_SEM.png",43.5
333,639,"Scene45_CON.png","Scene45_SEM.png",43.5
333,588,"Scene45_CON.png","Scene45_SEM.png",43.5
282,537,"Scene45_CON.png","Scene45_SEM.png",43.5
282,486,"Scene45_CON.png","Scene45_SEM.png",43.5
231,486,"Scene45_CON.png","Scene45_SEM.png",43.5
180,537,"Scene45_CON.png","Scene45_SEM.png",43.5
129,537,"Scene45_CON.png","Scene45_SEM.png",43.5
129,588,"Scene45_CON.png","Scene45_SEM.png",43.5
129,639,"Scene45_CON.png","Scene45_SEM.png",43.5
180,639,"Scene45_CON.png","Scene45_SEM.png",43.5
180,588,"Scene45_CON.png","Scene45_SEM.png",43.5
231,588,"Scene45_CON.png","Scene45_SEM.png",43.5
282,588,"Scene45_CON.png","Scene45_SEM.png",43.5
231,537,"Scene45_CON.png","Scene45_SEM.png",43.5
690,384,"Scene46_CON.png","Scene46_SEM.png",43.5
741,384,"Scene46_CON.png","Scene46_SEM.png",43.5
792,384,"Scene46_CON.png","Scene46_SEM.png",43.5
741,486,"Scene47_CON.png","Scene47_SEM.png",43.5
792,486,"Scene47_CON.png","Scene47_SEM.png",43.5
843,486,"Scene47_CON.png","Scene47_SEM.png",43.5
843,435,"Scene47_CON.png","Scene47_SEM.png",43.5
843,384,"Scene47_CON.png","Scene47_SEM.png",43.5
843,333,"Scene47_CON.png","Scene47_SEM.png",43.5
843,282,"Scene47_CON.png","Scene47_SEM.png",43.5
792,231,"Scene47_CON.png","Scene47_SEM.png",43.5
792,282,"Scene47_CON.png","Scene47_SEM.png",43.5
792,333,"Scene47_CON.png","Scene47_SEM.png",43.5
792,384,"Scene47_CON.png","Scene47_SEM.png",43.5
741,435,"Scene47_CON.png","Scene47_SEM.png",43.5
792,435,"Scene47_CON.png","Scene47_SEM.png",43.5
537,537,"Scene48_CON.png","Scene48_SEM.png",43.5
588,486,"Scene48_CON.png","Scene48_SEM.png",43.5
537,435,"Scene48_CON.png","Scene48_SEM.png",43.5
537,486,"Scene48_CON.png","Scene48_SEM.png",43.5
588,537,"Scene48_CON.png","Scene48_SEM.png",43.5
333,588,"Scene49_CON.png","Scene49_SEM.png",43.5
282,537,"Scene49_CON.png","Scene49_SEM.png",43.5
282,486,"Scene49_CON.png","Scene49_SEM.png",43.5
333,486,"Scene49_CON.png","Scene49_SEM.png",43.5
384,486,"Scene49_CON.png","Scene49_SEM.png",43.5
333,537,"Scene49_CON.png","Scene49_SEM.png",43.5
384,537,"Scene49_CON.png","Scene49_SEM.png",43.5
384,588,"Scene49_CON.png","Scene49_SEM.png",43.5
333,639,"Scene49_CON.png","Scene49_SEM.png",43.5
27,690,"Scene50_CON.png","Scene50_SEM.png",43.5
78,690,"Scene50_CON.png","Scene50_SEM.png",43.5
129,690,"Scene50_CON.png","Scene50_SEM.png",43.5
129,639,"Scene50_CON.png","Scene50_SEM.png",43.5
129,588,"Scene50_CON.png","Scene50_SEM.png",43.5
78,639,"Scene50_CON.png","Scene50_SEM.png",43.5
27,639,"Scene50_CON.png","Scene50_SEM.png",43.5
27,588,"Scene50_CON.png","Scene50_SEM.png",43.5
27,537,"Scene50_CON.png","Scene50_SEM.png",43.5
27,486,"Scene50_CON.png","Scene50_SEM.png",43.5
27,435,"Scene50_CON.png","Scene50_SEM.png",43.5
