"x","y","first_image","second_image","rad","delay1","delay2","delay3","delay4","delay5"
180,384,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
231,435,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
282,435,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
282,384,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
333,384,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
333,435,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
384,435,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
435,435,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
486,435,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
537,435,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
384,384,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
129,741,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
129,690,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
129,639,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
129,588,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
180,588,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
231,588,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
282,537,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
282,588,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
231,537,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
180,537,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
180,486,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
231,486,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
231,435,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
180,435,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
180,384,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
231,384,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
282,333,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
282,384,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
282,435,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
333,435,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
333,384,"Scene29_CON.png","Scene29_SEM.png",43.5,2000,3000,4000,0,1000
78,282,"Scene30_CON.png","Scene30_SEM.png",43.5,2000,3000,4000,0,1000
