RootScene,MorphScene,Patch,Meaning,Saliency,Attention,MeaningSaliencyDiff,MeaningContrast,Patch_X,Patch_Y,possiblePatchesN,type
target_ranch.png,target_ranch_LowMean.png,62,0.009,0.362,0.148,-0.352,1.128,129.500,469.000,9,LowMean
target_recordingstudio.png,target_recordingstudio_HighMean.png,90,0.719,0.179,0.569,0.540,0.719,469.500,639.000,6,HighMean
target_recordingstudio.png,target_recordingstudio_LowMean.png,16,-0.000,0.236,0.112,-0.236,0.719,299.500,129.000,6,LowMean
target_refrigerator.png,target_refrigerator_HighMean.png,75,0.328,0.263,-0.217,0.065,0.487,214.500,554.000,7,HighMean
target_refrigerator.png,target_refrigerator_LowMean.png,22,-0.158,0.219,-0.475,-0.378,0.487,809.500,129.000,7,LowMean
target_restaurant_IDS01.png,target_restaurant_IDS01_HighMean.png,70,0.782,0.340,0.143,0.442,1.108,809.500,469.000,8,HighMean
target_restaurant_IDS01.png,target_restaurant_IDS01_LowMean.png,21,-0.325,0.249,-0.386,-0.574,1.108,724.500,129.000,8,LowMean
target_ruins.png,target_ruins_HighMean.png,45,0.651,0.262,0.266,0.389,1.413,724.500,299.000,6,HighMean
target_ruins.png,target_ruins_LowMean.png,14,-0.762,0.202,-0.498,-0.964,1.413,129.500,129.000,6,LowMean
target_sewingroom.png,target_sewingroom_HighMean.png,30,1.195,0.356,0.806,0.839,1.051,469.500,214.000,6,HighMean
target_sewingroom.png,target_sewingroom_LowMean.png,26,0.144,0.324,0.554,-0.180,1.051,129.500,214.000,6,LowMean
target_skatepark.png,target_skatepark_HighMean.png,17,1.029,0.331,0.852,0.698,1.102,384.500,129.000,9,HighMean
target_skatepark.png,target_skatepark_LowMean.png,35,-0.074,0.136,-0.520,-0.209,1.102,894.500,214.000,9,LowMean
target_soccerfield.png,target_soccerfield_HighMean.png,79,0.728,0.218,-0.456,0.510,0.791,554.500,554.000,13,HighMean
target_soccerfield.png,target_soccerfield_LowMean.png,26,-0.062,0.293,1.708,-0.356,0.791,129.500,214.000,13,LowMean
target_stable.png,target_stable_HighMean.png,17,0.639,0.201,0.437,0.439,0.502,384.500,129.000,9,HighMean
target_stable.png,target_stable_LowMean.png,50,0.138,0.344,1.179,-0.206,0.502,129.500,384.000,9,LowMean
target_stream.png,target_stream_HighMean.png,52,1.105,0.325,0.377,0.780,1.507,299.500,384.000,9,HighMean
target_stream.png,target_stream_LowMean.png,83,-0.401,0.168,-0.305,-0.569,1.507,894.500,554.000,9,LowMean
target_street_IDS01.png,target_street_IDS01_HighMean.png,30,0.968,0.335,1.001,0.634,1.198,469.500,214.000,5,HighMean
target_street_IDS01.png,target_street_IDS01_LowMean.png,87,-0.230,0.352,-0.382,-0.582,1.198,214.500,639.000,5,LowMean
target_subway.png,target_subway_HighMean.png,69,0.787,0.254,0.677,0.533,1.002,724.500,469.000,6,HighMean
target_subway.png,target_subway_LowMean.png,15,-0.215,0.269,-0.060,-0.484,1.002,214.500,129.000,6,LowMean
target_swamp.png,target_swamp_HighMean.png,18,0.462,0.129,0.023,0.333,0.753,469.500,129.000,6,HighMean
target_swamp.png,target_swamp_LowMean.png,50,-0.291,0.187,-0.053,-0.477,0.753,129.500,384.000,6,LowMean
